STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
6159;Dörpen;8;52.9542;7.3196;6.6;7.8;7.2;7.1;6.9;7;7.6;8.7;9.2;10.1;7;9.3;10.3;7.2;8.8;7.3;6.5;6.5;6.5;6;5.2;5.2;5;6.1;7;7.8;7.6;7.7;6.4;6.1;6.2
6093;Wendisch Evern;62;53.2138;10.4704;6.6;7.5;6.8;6.9;7;6.4;7.3;8.1;8.4;9.7;6.9;8.9;10.3;7.2;8;7;6.2;5.7;5.6;5.9;5.1;5.5;5;5.3;6.5;7.5;7.1;7.3;6.1;6.1;6
2319;Holzkirchen;685;47.8823;11.6962;4.2;6.3;7.2;5.6;4.7;4.9;5.4;5.6;7.2;9.8;6.6;4.8;3.6;6;5.8;5.8;6.4;5.8;5.1;5.1;5.1;5.3;5.5;5.4;5;4.6;5.8;5.2;5.6;4.7;4.6
5300;Waldems-Reinborn;380;50.2599;8.3602;6.5;6.3;6;6.2;5.4;4.8;6.1;7.6;8.6;10.5;5.5;7;7;6.7;7.5;7.5;6.3;5.2;5;5;4.6;5;5;5.2;6;6.2;6.5;6.4;5.8;5.3;5.3
2315;Holzdorf (Flugplatz);81;51.7657;13.1666;7;6.8;6;6.3;6.7;6.3;6.5;7.3;7.7;10;5.8;7.3;7.3;7.3;6.5;7.6;7;5.2;5.5;6.2;5.3;5.6;5.7;5.3;6.2;6.5;7;6.5;5.5;6.1;5.7
5856;Fürstenzell;476;48.5451;13.3531;5.6;5.5;5.9;5.8;5.2;5;5.1;6.3;7.6;10.8;6.5;5.5;5.4;5.9;5.9;6.2;6.6;6.4;5.9;5.2;5.2;5.8;6.2;5.4;5.3;5.4;5.7;5.4;5.4;4.7;4.8
298;Barth;3;54.3406;12.7108;7.1;7.8;7.2;6.3;7.5;6.1;7;7.9;7.7;8.9;6.7;8.8;9.5;7.2;7.3;7.3;6.3;5.6;5.6;6.3;5.8;5.6;5.2;5.1;6.6;7.3;6.7;7.1;5.9;6.1;6.1
1666;Glücksburg-Meierwik;27;54.8273;9.5057;8.1;8.1;7.5;7;7.9;6.9;7.8;8.4;7.7;8.7;6.8;9;8.6;6.8;8;7.4;6.5;6.3;6.2;6;5.4;5.1;4.7;5.6;6.9;7.4;7;7.6;6.1;5.6;4.6
294;Barsinghausen-Hohenbostel;110;52.3198;9.4299;6.2;7.1;6.6;6.9;6.4;6.1;7.3;8;8.6;10.3;6.5;8.5;9.4;7;8;7;6.1;5.3;5.6;5.8;5.1;5.3;5;5.5;6.9;7.4;7.2;7;6;6.2;6
591;Boizenburg;45;53.3911;10.6878;6.5;7.5;6.7;6.7;7.1;6.6;7.2;8;8.2;9.4;6.7;8.8;10.1;7.1;7.8;7;6.2;5.6;5.5;6;5.2;5.4;4.8;5.2;6.5;7.4;6.8;7.2;5.9;6;5.6
198;Artern;164;51.3745;11.292;6.6;6.3;6;6.3;5.8;5.4;6.1;7.3;7.8;9.8;5.8;7.3;7.6;7;6.7;8.1;6.5;5;5.1;5.8;4.5;5.3;5.1;5;5.9;6.5;6.3;6.3;5.5;5.9;5.4
596;Boltenhagen;15;54.0028;11.1908;6.8;7.6;6.8;6.6;7.5;6.9;7.2;7.9;7.8;9;6.7;8.9;9.4;6.9;7.6;7;6.1;5.6;5.6;6.1;5.2;5.7;4.9;5.1;6.1;7.3;6.7;7.1;5.8;5.9;5.2
4323;Ruppertsecken;461;49.6467;7.8835;6.3;5.9;6.3;6;5.2;4.6;5.9;8.1;9.3;11.3;5.6;6.7;6.5;6.9;7.7;7.2;6.5;5.4;5;5.2;5;5.2;5.4;5.2;5.7;6;6.1;6.4;6;5.5;5.5
191;Arnstein-Müdesheim;220;49.9695;9.9113;6.8;6.9;6.5;6.4;5.8;4.9;6.3;8.2;9;11.6;5.5;7.2;6.6;7.4;7;8.5;7.3;5.9;6.2;5.9;5.4;5.8;5.5;5.2;6.1;6.5;6.6;6.8;6.3;6;5.8
3679;Kiefersfelden-Gach;518;47.6185;12.1666;4.2;5.1;6.8;5.7;5.1;4.8;4.9;4.7;6.5;8.2;6.6;5.7;4.8;6;6.2;6.2;6.6;6.1;5.1;4.8;4.6;5.4;5.6;5.8;5.3;4.5;5.7;5;5.3;4.7;4.4
4651;Seesen;186;51.9044;10.1888;6.5;6.5;6.4;6.7;6;5.6;6.6;7.4;8.2;10;6.2;8.1;8.4;6.8;7.5;7.8;6.1;5.2;5.3;5.6;4.7;5.3;5.1;5.1;6.3;6.7;6.8;6.7;5.7;6;5.6
2829;Landsberg (Flugplatz);621;48.0772;10.9144;3.3;5.4;7;5.3;4.3;4.7;5.7;6.2;7.4;9.8;6.3;4;3.3;6.2;5.4;5.9;6.3;5.7;4.7;5.1;5;5.3;5.2;5.2;4.9;4.5;5.6;4.9;5.4;4.7;4.5
4559;Schorndorf-Knöbling;399;49.1646;12.6176;5.8;5.5;5.9;5.8;5.2;4.5;5.3;6.4;7.6;10.9;5.6;5.8;4.4;6.6;5.7;5.9;6.5;6.3;5.8;5.2;5.4;5.9;6;5.2;5.4;5.7;5.8;5.6;5.5;5.1;4.7
2542;Kaufbeuren;716;47.8652;10.6007;3.1;6;7.4;5.4;4;4.1;5.5;6.1;7.4;10.1;6.3;4.2;3.5;6.4;5.5;6;6.3;5.6;4.2;4.9;4.9;5.1;5.2;5.2;4.8;4.4;5.5;4.8;5.6;5;4.6
3028;Lippspringe, Bad;157;51.7855;8.8388;5.9;7;6.4;6.6;6;5.8;7;8;8.4;10;6.2;8;8.8;6.5;7.6;7;6.1;5;5.3;5.5;4.4;4.9;4.6;5.3;6.4;7.2;7;6.7;5.6;5.8;5.9
3023;Lingen;22;52.5181;7.3081;5.9;7.3;6.7;6.5;6.3;6.5;7.3;8.4;8.9;9.8;6.6;8.8;9.9;6.9;8.6;6.9;6.1;6.3;6.2;5.8;4.7;4.9;4.7;5.9;6.8;7.7;7.3;7.3;6;6.2;6.2
2985;Lichtenhain-Mittelndorf;321;50.9383;14.2093;;;5.4;6;6.1;5.8;4.7;6.2;7.3;9.9;5.2;6.4;6.1;6.3;5.6;6.5;7;6;5.8;5.3;5.2;6;5.5;4.7;5.8;5.6;6.2;5.8;5;4.9;4.7
2385;Idar-Oberstein;376;49.6927;7.3264;5.7;6;6.4;5.9;4.9;4.5;5.9;8.1;9.5;11.2;5.6;7;7.2;6.9;7.9;7.2;6.3;5.1;4.9;5;4.9;5;5.2;5.1;5.8;6.1;6.1;6.5;6;5.3;5.5
2261;Hof;565;50.3122;11.8761;6.2;5.8;5.6;5.4;5.1;4.6;5.2;6.6;7.4;10;5.2;6.2;5.6;6.6;6;6.2;6.4;5.1;5.3;5.4;4.8;5.2;4.9;4.7;5.4;5.6;5.4;5.7;5.2;5;4.6
1103;Ebersberg-Halbing;592;48.1002;11.9872;4.7;6.1;6.6;5.7;4.7;4.8;5.8;6.4;7.7;10.3;6.7;4.8;4.4;6;6.3;6.2;6.5;6;5.6;5.5;5.3;5.4;5.4;5.2;5.1;4.7;5.8;5.1;5.4;4.7;4.6
1339;Faßberg;73;52.9157;10.1885;6.1;6.8;6.3;6.5;6.4;5.7;6.8;7.6;8;9.4;6.3;8.4;9.5;6.8;7.5;6.6;5.7;5.2;5;5.5;4.8;4.9;4.6;4.9;6.1;7.1;6.5;6.8;5.7;5.9;5.8
2444;Jena (Sternwarte);155;50.9251;11.583;7.1;6.4;5.9;6.3;5.6;5.2;5.9;7.3;7.5;10.1;5.3;6.8;6.8;6.9;6.5;8;7;5.6;5.5;6.3;5.3;5.6;5.5;5.3;6.2;6.5;6.3;6.2;5.5;5.7;5.1
5009;Teterow;38;53.761;12.5574;6.8;7.4;6.9;6.4;7.7;6.9;7;7.6;7.8;9.1;6.6;8.7;9.8;7.1;7.3;7.3;6.3;5.4;5.4;6;5.3;5.4;5.2;5.2;6.2;7.1;6.7;7;5.9;6.1;5.4
