STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
5930;Schönhagen (Ostseebad);2;54.641;10.0238;89.42;80.71;85.17;80.04;86.5;87.38;88.83;91.79;78.46;81.79;78.58;89.5;90.88;89.42;88.96;78.13;84.5;87;96.79;97.42;98.17;95.25;98.46;93.21;94.83;96.17;84.17;91.92;92.63;93.63;98.17
1766;Münster/Osnabrück;48;52.1346;7.6964;81.21;73.71;84.38;84.21;87;82.83;87.04;89.96;81.25;76.54;77.08;79.75;83.88;81.92;80.13;73.63;84.13;84.42;87.63;90.46;80.17;84.67;80.58;90.83;95.46;94.5;89.04;85.54;84.04;92.25;89.83
4301;Kreuznach, Bad;102;49.8502;7.871;88.25;83.38;91.63;80.08;86.08;97;84.75;84.38;76.79;74.5;61;72.79;63.79;76.83;74.29;85.13;82;85.5;87.92;83.92;84.33;77.54;80.25;87.54;81.67;88.63;81.88;82;81.04;78.46;82.79
4300;Rottweil;588;48.1813;8.6351;96.63;92.17;97.38;92.17;89.96;86.54;92.88;86.33;81.79;77.38;85.5;58.79;51.21;85.17;81.21;86.79;96.96;90.21;89.88;96.5;91.08;91;94.83;90.88;91.33;95;92.83;88.21;91.13;86.79;86.42
1262;München-Flughafen;446;48.3477;11.8133;93;92.29;92.54;83.08;76.5;81.71;93.21;79.88;76.25;70.17;83.29;65.46;56.79;70.08;83.67;88.21;96.29;91.83;86.96;95.08;87.88;91.08;94.08;87.33;87.42;85.42;91.58;84.83;83.75;80.21;78.88
662;Braunschweig;81;52.2914;10.4465;85.88;75.33;78.54;85.83;84;83.08;86.88;87.21;78.25;81.29;75.92;80.46;77.38;77.75;71.13;74.33;83.88;77.13;87.75;94.17;88.63;90.38;85.83;88.83;96.67;94;87.96;84.67;79.04;96.54;92.79
3490;Neuenahr, Bad-Ahrweiler;111;50.5346;7.0853;93.79;74.71;87.42;86.42;96.92;96.92;86;85.96;77.54;73.21;67.88;78.5;72.79;76.38;71.58;83.88;83.46;79.29;91.5;90.08;87.17;79.21;87.67;92.33;91.54;90.21;86.33;81.58;77.38;78.54;77.96
7389;Heckelberg;82;52.7461;13.8427;87.83;80;76.13;80.29;96;97.71;95.58;95.38;82.63;80.71;75;91.25;70.17;78;79.83;72.58;93.67;91.42;97.33;97.79;99.58;97.25;95.17;89.04;97.5;93.71;91.38;89.58;79.88;98.38;97.29
7367;Alfeld;144;51.9644;9.8072;81;72.08;77.96;81.17;81.42;81.79;83.17;84.38;76.96;77.17;74.54;79.08;76.46;75.25;74.42;74.29;79.46;78.67;88.88;90;85.63;88.38;81.83;85.58;90.42;89.88;85.5;80.83;76.96;92.46;88.79
1544;Gardelegen;47;52.5129;11.3941;84.71;73.38;76.71;83.29;87.17;86.58;89.63;88.42;78.21;82.08;80.04;86.75;75.88;77.75;80.58;77.92;86.42;86.08;92.71;98.25;96.75;93.5;90.08;88.54;97.71;95.83;86.38;85.46;77.25;98.33;94.58
691;Bremen;4;53.0445;8.7985;81.29;78.08;81;86.67;89.79;86.63;89.54;90.29;80.71;80.46;79.79;86.63;90.25;86.38;83.33;77.75;85.92;89.38;89.33;96.08;93.42;88.71;91.71;91.5;95.71;95.71;91.17;89;86.38;97.17;93.08
2486;Kaiserslautern;285;49.4242;7.736;93.75;91.88;95.25;88.38;95.54;92.92;92.88;89.79;89.71;88.75;71.46;74.79;56.38;83.21;73.92;91.63;91.75;88.42;93;91.42;89.04;87.13;88.42;91.33;92.75;93.96;88.54;89.96;89.58;89.04;89.75
2485;Kaisersbach-Cronhütte;489;48.9171;9.6872;98.83;93.79;96.67;92.33;88.63;89.17;96.33;90.04;83.42;81.04;85.25;66.83;46.92;84.88;78.67;84;96.42;91.92;90.88;94.33;90;92.92;94.33;90.58;92.92;95.96;94.92;88.79;86.46;91.75;92.38
3126;Magdeburg;76;52.1029;11.5826;82.38;69.71;74.79;83;81.92;84.38;84.38;84.29;74.92;78.17;73.79;79.25;69.71;74.38;77.71;78.83;86.29;86.04;92.21;95.67;89.13;89.75;88;84.33;92.25;90.83;83.96;81.54;76.88;94.54;88.63
2483;Kahler Asten;839;51.1803;8.4891;96.67;94.83;99.08;98.54;96.92;89.5;99.29;99.75;98.21;96.63;96.21;100;93.96;98.63;98.54;98.13;95.29;95.96;95.21;91.71;92.88;96.46;96.33;96.92;98.96;99.17;98.96;98.96;97.96;96.67;97.38
2480;Kahl/Main;107;50.0644;8.9932;97.29;92.08;95.63;88.46;88.5;98.88;92.13;91.33;83.08;81;64.29;75.25;59.25;80.46;70.17;92;92.88;91.88;93.96;97.04;93;82.67;84.42;95.88;97.13;98.17;94.08;88.21;91.38;90.54;87.42
2951;Lenzen/Elbe;20;53.1007;11.4864;81.08;76;80.71;84.75;89.71;92.71;90.83;90.71;84.96;81.42;82.96;89.21;85.5;82.88;84.54;71.63;86.58;86.67;91.92;95.13;98.42;93;89.67;90.21;98.46;98.21;87.38;88.29;83.21;97.21;90.04
